"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Abstral","Fentanyl Citrate","TABLET;SUBLINGUAL","022510","SENTYNL THERAPS INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022510s018lbl.pdf#page=29"
"Accutane","Isotretinoin","CAPSULE;ORAL","018662","HOFFMANN LA ROCHE","10/22/2010","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018662s061MedGuide.pdf"
"Aciphex","Rabeprazole Sodium","TABLET, DELAYED RELEASE;ORAL","020973","EISAI INC","06/07/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020973s039lbl.pdf#page=34"
"Aciphex Sprinkle","Rabeprazole Sodium","CAPSULE, DELAYED RELEASE;ORAL","204736","AYTU","06/07/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204736s010lbl.pdf#page=21"
"Actemra","Tocilizumab","INJECTABLE; INJECTION","125276","GENENTECH","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125276s127,125472s040lbl.pdf#page=46"
"Actemra","Tocilizumab","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","125472","GENENTECH","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125276s127,125472s040lbl.pdf#page=46"
"Actemra","Tocilizumab","INJECTABLE; INJECTION","125276","GENENTECH","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125276s129,125472s042lbl.pdf#page=46"
"Actemra","Tocilizumab","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","125472","GENENTECH","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125276s129,125472s042lbl.pdf#page=46"
"Actiq","Fentanyl Citrate","TROCHE/LOZENGE;TRANSMUCOSAL","020747","CEPHALON","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020747s049lbl.pdf#page=21"
"Actonel","Risedronate Sodium","TABLET;ORAL","020835","APIL","11/05/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf#page=38"
"Actonel","Risedronate Sodium","TABLET;ORAL","020835","APIL","11/05/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/020835s048lbl.pdf#page=38"
"Actonel With Calcium (Copackaged)","Calcium Carbonate; Risedronate Sodium","TABLET, TABLET;ORAL","021823","WARNER CHILCOTT","04/08/2015","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021823s011lbl.pdf#page=27"
"Actoplus MET","Metformin Hydrochloride; Pioglitazone Hydrochloride","TABLET;ORAL","021842","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021842s022lbl.pdf#page=41"
"Actoplus MET XR","Metformin Hydrochloride; Pioglitazone Hydrochloride","TABLET, EXTENDED RELEASE;ORAL","022024","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022024s014lbl.pdf#page=41"
"Actos","Pioglitazone Hydrochloride","TABLET;ORAL","021073","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021073s049lbl.pdf#page=35"
"Adasuve","Loxapine","POWDER;INHALATION","022549","ALEXZA PHARMS","02/23/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022549s006lbl.pdf#page=26"
"Adderall 10","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall 12.5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall 15","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall 20","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall 30","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall 5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall 7.5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","TABLET;ORAL","011522","TEVA WOMENS","01/04/2017","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM467750.pdf"
"Adderall XR 10","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Adderall XR 15","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Adderall XR 20","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Adderall XR 25","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Adderall XR 30","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Adderall XR 5","Amphetamine Aspartate; Amphetamine Sulfate; Dextroamphetamine Saccharate; Dextroamphetamine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"Addyi","Flibanserin","TABLET;ORAL","022526","SPROUT PHARMS","10/09/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022526s009lbl.pdf#page=23"
"Adempas","Riociguat","TABLET;ORAL","204819","BAYER HLTHCARE","02/10/2020","http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/204819s006lbl.pdf#page=24"
"Adhansia XR","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","212038","PURDUE PHARMA LP","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212038s001lbl.pdf#page=24"
"Adlyxin","Lixisenatide","SOLUTION;SUBCUTANEOUS","208471","SANOFI-AVENTIS US","07/27/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208471Orig1s000lbl.pdf#page=31"
"Adzenys ER","Amphetamine","SUSPENSION, EXTENDED RELEASE;ORAL","204325","NEOS THERAPS INC","09/15/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/204325s000lbl.pdf#page=26"
"Ambien","Zolpidem Tartrate","TABLET;ORAL","019908","SANOFI AVENTIS US","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019908s046lbl.pdf#page=23"
"Ambien CR","Zolpidem Tartrate","TABLET, EXTENDED RELEASE;ORAL","021774","SANOFI AVENTIS US","08/18/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021774s027lbl.pdf#page=26"
"Amjevita","Adalimumab-Atto","INJECTABLE;INJECTION","761024","AMGEN INC","06/13/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761024s004lbl.pdf#page=39"
"Ampyra","Dalfampridine","TABLET, EXTENDED RELEASE;ORAL","022250","ACORDA","12/19/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022250s015lbl.pdf#page=15"
"Ampyra","Dalfampridine","TABLET, EXTENDED RELEASE;ORAL","022250","ACORDA","12/19/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/22250s017lbl.pdf#page=14"
"Anafranil","Clomipramine Hydrochloride","CAPSULE;ORAL","019906","SPECGX LLC","05/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019906s043lbl.pdf#page=27"
"Anaprox","Naproxen Sodium","TABLET;ORAL","018164","ATNAHS PHARMA US","07/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/017581s114,018164s064,020067s021lbl.pdf#page=22"
"Anaprox DS","Naproxen Sodium","TABLET;ORAL","018164","ATNAHS PHARMA US","07/22/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/017581s114,018164s064,020067s021lbl.pdf#page=22"
"Androgel","Testosterone","GEL, METERED;TRANSDERMAL","022309","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25"
"Androgel","Testosterone","GEL, METERED;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23"
"Androgel","Testosterone","GEL;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23"
"Androgel","Testosterone","GEL;TRANSDERMAL","022309","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25"
"Ansaid","Flurbiprofen","TABLET;ORAL","018766","PHARMACIA AND UPJOHN","05/09/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018766s015MedGuide.pdf"
"Apadaz","Acetaminophen; Benzhydrocodone Hydrochloride","TABLET;ORAL","208653","KVK TECH INC","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208653s005lbl.pdf#page=37"
"Aplenzin","Bupropion Hydrobromide","TABLET, EXTENDED RELEASE;ORAL","022108","VALEANT PHARMS NORTH","05/01/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022108s020lbl.pdf#page=28"
"Aplenzin","Bupropion Hydrobromide","TABLET, EXTENDED RELEASE;ORAL","022108","VALEANT PHARMS NORTH","05/01/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022108s014lbl.pdf#page=28"
"Aptensio XR","Methylphenidate Hydrochloride","CAPSULE, EXTENDED RELEASE;ORAL","205831","RHODES PHARMS","06/14/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/205831s005lbl.pdf#page=22"
"Aptiom","Eslicarbazepine Acetate","TABLET;ORAL","022416","SUNOVION PHARMS INC","03/15/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022416s011lbl.pdf#page=25"
"Aranesp","Darbepoetin Alfa","VIAL; INTRAVENOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"Aranesp","Darbepoetin Alfa","VIAL; SUBCUTANEOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"Arcapta Neohaler","Indacaterol Maleate","POWDER;INHALATION","022383","NOVARTIS","05/29/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022383s000MedG.pdf"
"Arikayce Kit","Amikacin Sulfate","SUSPENSION, LIPOSOMAL;INHALATION","207356","INSMED INC","03/13/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207356s004lbl.pdf#page=15"
"Aristada","Aripiprazole LAuroxil","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","207533","ALKERMES INC","11/30/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207533s004lbl.pdf#page=35"
"Arthrotec","Diclofenac Sodium; Misoprostol","TABLET, DELAYED RELEASE;ORAL","020607","GD SEARLE LLC","07/28/2020","http://www.fda.gov/downloads/Drugs/DrugSafety/ucm085919.pdf"
"Arthrotec","Diclofenac Sodium; Misoprostol","TABLET, DELAYED RELEASE;ORAL","020607","GD SEARLE LLC","07/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020406s033lbl.pdf#page=31"
"Arymo ER","Morphine Sulfate","TABLET, EXTENDED RELEASE;ORAL","208603","ZYLA","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208603s005lbl.pdf#page=34"
"Arzerra","Ofatumumab","INJECTABLE; INJECTION","125326","NOVARTIS","08/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125326s070lbl.pdf#page=13"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","204096","ASTELLAS","06/11/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/204096s007lbl.pdf#page=38"
"Atelvia","Risedronate Sodium","TABLET, DELAYED RELEASE;ORAL","022560","APIL","08/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022560s011lbl.pdf#page=24"
"Ativan","Lorazepam","TABLET;ORAL","017794","BAUSCH","12/16/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/017794s044lbl.pdf#page=9"
"Aubagio","Teriflunomide","TABLET;ORAL","202992","SANOFI AVENTIS US","02/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202992s008lbl.pdf#page=24"
"Aubagio","Teriflunomide","TABLET;ORAL","202992","SANOFI AVENTIS US","02/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/202992s006lbl.pdf#page=24"
"Austedo","Deutetrabenazine","TABLET;ORAL","208082","TEVA BRANDED PHARM","07/15/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208082s004lbl.pdf#page=25"
"Avandamet","Metformin Hydrochloride; Rosiglitazone Maleate","TABLET;ORAL","021410","SB PHARMCO","04/05/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021410s040lbl.pdf#page=38"
"Avandaryl","Glimepiride; Rosiglitazone Maleate","TABLET;ORAL","021700","SB PHARMCO","12/16/2015","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021700s021lbl.pdf#page=39"
"Avandia","Rosiglitazone Maleate","TABLET;ORAL","021071","SB PHARMCO","02/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021071s052lbl.pdf#page=38"
"Aveed","Testosterone Undecanoate","INJECTABLE;INTRAMUSCULAR","022219","ENDO PHARMS INC","06/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022219s014lbl.pdf#page=23"
"Avelox","Moxifloxacin Hydrochloride","TABLET;ORAL","021085","BAYER HLTHCARE","05/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021085s065,021277s061lbl.pdf#page=33"
"Avelox","Moxifloxacin Hydrochloride","TABLET;ORAL","021085","BAYER HLTHCARE","05/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
"Avelox in Sodium Chloride 0.8% in Plastic Container","Moxifloxacin Hydrochloride","SOLUTION;INTRAVENOUS","021277","BAYER HLTHCARE","05/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021085s065,021277s061lbl.pdf#page=33"
"Avelox in Sodium Chloride 0.8% in Plastic Container","Moxifloxacin Hydrochloride","SOLUTION;INTRAVENOUS","021277","BAYER HLTHCARE","05/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
"Avinza","Morphine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021260","KING PHARMS LLC","06/26/2015","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM311346.pdf"
"Avonex","Interferon Beta-1a","VIAL","103628","BIOGEN","03/27/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/103628s5264lbl.pdf#page=21"
"Avsola","Infliximab-Axxq","INJECTABLE;INJECTION","761086","AMGEN INC","12/06/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761086s000lbl.pdf#page=48"
"Axiron","Testosterone","SOLUTION, METERED;TRANSDERMAL","022504","ELI LILLY AND CO","07/13/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022504s016lbl.pdf#page=15"
"Banzel","Rufinamide","TABLET;ORAL","021911","EISAI INC","11/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021911s017,201367s008lbl.pdf#page=19"
"Banzel","Rufinamide","SUSPENSION;ORAL","201367","EISAI INC","11/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021911s017,201367s008lbl.pdf#page=19"
"Bavencio","Avelumab","INJECTABLE;INJECTION","761049","EMD SERONO INC","06/30/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761049s009lbl.pdf#page=36"
"Bavencio","Avelumab","INJECTABLE;INTRAVENOUS","761078","EMD SERONO INC","05/09/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761078s000lbl.pdf#page=23"
"Baxdela","Delafloxacin Meglumine","TABLET;ORAL","208610","MELINTA","10/24/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s006,208611s005lbl.pdf#page=23"
"Baxdela","Delafloxacin Meglumine","POWDER;INTRAVENOUS","208611","MELINTA","10/24/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s007,208611s006lbl.pdf#page=28"
"Baxdela","Delafloxacin Meglumine","POWDER;INTRAVENOUS","208611","MELINTA","10/24/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s006,208611s005lbl.pdf#page=23"
"Baxdela","Delafloxacin Meglumine","TABLET;ORAL","208610","MELINTA","10/24/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s007,208611s006lbl.pdf#page=28"
"Belbuca","Buprenorphine Hydrochloride","FILM;BUCCAL","207932","BDSI","10/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/207932s012lbl.pdf#page=37"
"Belbuca","Buprenorphine Hydrochloride","FILM;BUCCAL","207932","BDSI","10/16/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/207932s002lbl.pdf#page=28"
"Belsomra","Suvorexant","TABLET;ORAL","204569","MERCK SHARP DOHME","03/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204569Orig1s007lbl.pdf#page=23"
"Belsomra","Suvorexant","TABLET;ORAL","204569","MERCK SHARP DOHME","03/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204569s006lbl.pdf#page23"
"Belsomra","Suvorexant","TABLET;ORAL","204569","MERCK SHARP DOHME","03/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204569s005lbl.pdf#page=22"
"Benlysta","Belimumab","INJECTABLE; INJECTION","125370","HUMAN GENOME SCIENCES INC.","01/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125370s067,761043s005lbl.pdf#page=32"
"Benlysta","Belimumab","INJECTABLE; INJECTION","125370","HUMAN GENOME SCIENCES INC.","01/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125370s068,761043s008lbl.pdf#page=33"
"Benlysta","Belimumab","INJECTABLE;INJECTION","761043","GLAXOSMITHKLINE LLC","01/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/125370s068,761043s008lbl.pdf#page=33"
"Benlysta","Belimumab","INJECTABLE;INJECTION","761043","GLAXOSMITHKLINE LLC","01/17/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/125370s067,761043s005lbl.pdf#page=32"
"Betaseron","Interferon Beta-1b","VIAL; SUBCUTANEOUS","103471","BAYER HEALTHCARE PHARMS","08/16/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103471s5193lbl.pdf#page=18"
"Bevyxxa","Betrixaban","CAPSULE;ORAL","208383","PORTOLA PHARMS INC","08/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208383s000lbl.pdf#page=20"
"Binosto","Alendronate Sodium","TABLET, EFFERVESCENT;ORAL","202344","ASCEND THERAPS US","06/08/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/202344s008lbl.pdf#page=33"
"Blenrep","Belantamab Mafodotin-Blmf","INJECTABLE;INTRAVENOUS","761158","GLAXOSMITHKLINE","08/05/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761158s000lbl.pdf#page=21"
"Blincyto","Blinatumomab","INJECTABLE;INJECTION","125557","AMGEN","03/20/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125557s012lbl.pdf#page=33"
"Boniva","Ibandronate Sodium","INJECTABLE;INTRAVENOUS","021858","ROCHE","12/07/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021858s022lbl.pdf#page=18"
"Boniva","Ibandronate Sodium","TABLET;ORAL","021455","HOFFMANN LA ROCHE","12/07/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf#page=19"
"Bonsity","Teriparatide","SOLUTION;SUBCUTANEOUS","211939","ALVOGEN","10/04/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211939s000lbl.pdf#page=25"
"Botox","Onabotulinumtoxina","VIAL; SINGLE-USE","103000","ALLERGAN","07/08/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/103000s5310lbl.pdf#page=47"
"Botox Cosmetic","Onabotulinumtoxina","VIAL; SINGLE-USE","103000","ALLERGAN","07/08/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/103000s5310lbl.pdf#page=47"
"Braftovi","Encorafenib","CAPSULE;ORAL","210496","ARRAY BIOPHARMA INC","04/08/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/210496s003lbl.pdf#page=18"
"Brilinta","Ticagrelor","TABLET;ORAL","022433","ASTRAZENECA PHARMS","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022433s028lbl.pdf#page=29"
"Brilinta","Ticagrelor","TABLET;ORAL","022433","ASTRAZENECA PHARMS","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022433s023lbl.pdf#page=27"
"Brilinta","Ticagrelor","TABLET;ORAL","022433","ASTRAZENECA PHARMS","05/28/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022433s025lbl.pdf#page=26"
"Brisdelle","Paroxetine Mesylate","CAPSULE;ORAL","204516","SEBELA IRELAND LTD","04/28/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/204516s005lbl.pdf#page=22"
"Briviact","Brivaracetam","TABLET;ORAL","205836","UCB INC","05/10/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205836s005,205837s004,205838s003lbl.pdf#page=17"
"Briviact","Brivaracetam","SOLUTION;INTRAVENOUS","205837","UCB INC","05/10/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205836s005,205837s004,205838s003lbl.pdf#page=17"
"Briviact","Brivaracetam","SOLUTION;ORAL","205838","UCB INC","05/10/2018","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205836s005,205837s004,205838s003lbl.pdf#page=17"
"Brovana","Arformoterol Tartrate","SOLUTION;INHALATION","021912","SUNOVION","05/29/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021912s013lbl.pdf#page=22"
"Bunavail","Buprenorphine Hydrochloride; Naloxone Hydrochloride","FILM;BUCCAL","205637","BDSI","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/205637s020lbl.pdf#page=31"
"Butrans","Buprenorphine","FILM, EXTENDED RELEASE;TRANSDERMAL","021306","PURDUE PHARMA LP","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021306s035lbl.pdf#page=42"
